Species	1-112	113-238	239-366	367-501	502-592	593-670	671-845	846-987	988-1217	1218-1325	1326-1472	1473-1658	1659-1907	1908-2090	2091-2260	2261-2395	2396-2523	2524-2585	2586-2737	2738-2986	2987-3104	3105-3227	3228-3379	3380-3647	3648-3840	3841-3984	3985-4101	4102-4326	4327-4465	4466-4655	4656-4877	4878-4959	4960-5048	5049-5288	5289-5396	5397-5541	5542-5750	5751-5977	5978-6179	6180-6369	6370-6504	6505-6591	6592-6744	6745-6912	6913-7065	7066-7289	7290-7463	7464-7639	7640-7762	7763-7906	7907-8072	8073-8203	8204-8330	8331-8432	8433-8646	8647-8902	8903-9023	9024-9163	9164-9380	9381-9539	9540-9712	9713-9968	9969-10193	10194-10425	10426-10526	10527-10648	10649-10774	10775-10883	10884-11016	11017-11258	11259-11400	11401-11617	11618-11771	11772-11925	11926-12149	12150-12252	12253-12384	12385-12467	12468-12658	12659-12772	12773-12895	12896-13139	13140-13331	13332-13594	13595-13835	13836-13972	13973-14244	14245-14420	14421-14613	14614-14919	14920-15090	15091-15291	15292-15469	15470-15619	15620-15704	15705-15924	15925-16076	16077-16194	16195-16334	16335-16466	16467-16706	16707-16965	16966-17212	17213-17499	17500-17714	17715-17861	17862-18071	18072-18186	18187-18411	18412-18738	18739-19014	19015-19284	19285-19525	19526-19654	19655-19797	19798-20182	20183-20429	20430-20548	20549-20645	20646-20819	20820-20999	21000-21090	21091-21170	21171-21354	21355-21692	21693-21902	21903-22270	22271-22554	22555-22664	22665-22817	22818-23026	23027-23225	23226-23376	23377-23551	23552-23735	23736-23922	23923-24171	24172-24282	24283-24453	24454-24552	24553-24632	24633-24863	24864-25029	25030-25437	25438-25561	25562-25821	25822-25971	25972-26253	26254-26446	26447-26655	26656-26835	26836-27151	27152-27249	27250-27457	27458-27756	27757-28001	28002-28201	28202-28478	28479-28647	28648-28816	28817-29056	29057-29313	29314-29469	29470-29688	29689-29850	29851-30136	30137-30316	30317-30496	30497-30712	30713-30858	30859-31134	31135-31347	31348-31544	31545-31679	31680-31844	31845-31997	31998-32150	32151-32433	32434-32709	32710-32820	32821-32972	32973-33045	33046-33283	33284-33479	33480-33640	33641-33815	33816-34012	34013-34191	34192-34328	34329-34648	34649-34799	34800-35062	35063-35268	35269-35531	35532-35849	35850-36080	36081-36450	36451-36685	36686-36829	36830-37018	37019-37189	37190-37500	37501-37711	37712-37885	37886-38026	38027-38166	38167-38311	38312-38420	38421-38626	38627-38761	38762-38988	38989-39193	39194-39560	39561-39783	39784-39923	39924-40192	40193-40517	40518-40917	40918-41003	41004-41144	41145-41278	41279-41395	41396-41551	41552-41751	41752-41964	41965-42077	42078-42259	42260-42419	42420-42632	42633-42728	42729-42937	42938-43135	43136-43223	43224-43333	43334-43596	43597-43841	43842-43956	43957-44123	44124-44248	44249-44493	44494-44806	44807-45006	45007-45209	45210-45483	45484-45681	45682-45758	45759-45916	45917-46066	46067-46218	46219-46344	46345-46474	46475-46555	46556-46820	46821-46913	46914-47052	47053-47270	47271-47481	47482-47639	47640-47944	47945-48062	48063-48251	48252-48425	48426-48516	48517-48690	48691-48847	48848-49009	49010-49208	49209-49335	49336-49480	49481-49723	49724-49860	49861-50115	50116-50339	50340-50569	50570-50772	50773-50976	50977-51133	51134-51414	51415-51627	51628-51924	51925-52125	52126-52293	52294-52452	52453-52678	52679-52839	52840-53185	53186-53375	53376-53712	53713-53945	53946-54319	54320-54477	54478-54823	54824-55009	55010-55271	55272-55727	55728-55846	55847-56013	56014-56281	56282-56529	56530-56683	56684-56825	56826-56996	56997-57265	57266-57588	57589-57843	57844-58055	58056-58374	58375-58624	58625-58793	58794-58963	58964-59115	59116-59325	59326-59526	59527-59742	59743-59868	59869-60061	60062-60143	60144-60362	60363-60562	60563-60797	60798-61080	61081-61224	61225-61469	61470-61668	61669-61874	61875-62068	62069-62312	62313-62585	62586-62825	62826-63132	63133-63421	63422-63620	63621-63873	63874-64104	64105-64404	64405-64616	64617-64782	64783-64984	64985-65425	65426-65600	65601-65984	65985-66204	66205-66384	66385-66509	66510-66804	66805-66926	66927-67112	67113-67300	67301-67546	67547-67789	67790-68185	68186-68533	68534-68859	68860-69019	69020-69309	69310-69524	69525-69772	69773-69991	69992-70253	70254-70573	70574-70910	70911-71168	71169-71393	71394-71622	71623-71837	71838-72128	72129-72394	72395-72729	72730-72929	72930-73199	73200-73430	73431-73693	73694-74064	74065-74289	74290-74460	74461-74759	74760-75050	75051-75271	75272-75524	75525-75914	75915-76162	76163-76562	76563-76922	76923-77445	77446-77807	77808-77952	77953-78190	78191-78463	78464-79357	79358-79682	79683-80045	80046-80373	80374-80657	80658-80864	80865-81044	81045-81336	81337-81737	81738-82470	82471-82949	82950-83399	83400-83560	83561-83929	83930-84460	84461-85180	85181-85756	85757-85960
Monosiga_ovata	2	2	2	2	2	2	0	0	2	0	2	2	2	0	2	2	2	0	2	2	2	2	0	0	0	0	0	2	2	2	2	0	2	2	2	0	2	2	2	0	0	2	2	0	0	2	2	2	2	0	0	2	2	0	2	2	2	2	2	0	2	2	0	2	0	0	0	0	2	2	2	2	0	0	0	0	0	0	2	0	2	2	0	2	2	2	0	1	2	2	2	2	0	2	0	0	2	0	1	2	2	2	1	2	0	0	2	0	0	2	2	0	2	2	2	2	2	2	0	2	2	2	0	2	2	0	2	1	2	2	2	0	2	2	2	0	1	0	2	2	0	2	0	2	0	1	2	2	2	2	2	1	0	2	0	0	0	0	0	2	0	0	2	2	0	2	0	0	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	2	0	0	0	0	2	2	2	2	2	1	2	0	2	2	2	2	2	0	0	0	0	0	2	0	2	1	0	0	0	2	0	0	0	2	0	2	2	2	2	0	0	2	0	0	0	0	0	2	0	0	0	0	2	1	2	2	1	0	0	1	2	1	2	2	2	2	0	0	0	2	2	0	2	2	2	0	0	2	0	2	0	0	2	0	0	0	2	0	2	0	2	0	2	0	2	0	0	0	2	0	2	2	1	0	2	0	0	1	0	0	0	0	0	2	2	2	2	0	0	2	1	0	2	2	2	2	0	0	0	0	2	0	2	1	0	2	2	0	0	0	2	2	2	2	0	2	2	2	2	2	0	1	0	2	0	0	0	2	0	2	2	2	0	2	0	2	0	1	0	0	2	2	2	1	0	2	0	2	0	2	2	2	2	0	0	2	0	0	1	0	0	2	0	0	2	0	1	1	2	2	0	0	1	1	1	2	2	2	2	0	1	0	0	0	1	1	1	1	0
Monosiga_brevicollis	0	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	0	2	2	2	2	0	2	2	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	0	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	0	2	2	2	0	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	1	2	2	0	2	2	2	0	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	0	2	0	2	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Salpingoeca_rosetta	2	2	0	2	2	2	0	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	0	2	2	0	0	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	0	2	2	2	0	2	2	2	2	0	2	2	0	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	0	2	2	2	0	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	0	0	2	2	2	2	0	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	1	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	0	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2
Pleurobrachia_pileus	0	0	0	0	2	0	0	2	2	0	2	0	0	2	0	0	0	2	2	0	0	0	0	2	0	0	0	2	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	2	0	2	2	0	0	2	2	2	0	0	0	0	2	0	0	2	0	2	0	0	2	0	0	2	0	0	2	0	2	0	0	0	2	2	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	2	2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	1	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	2	2	0	0	0	2	2	0	2	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	2	0	2	2	0	0	0	0	2	0	2	0	0	0	0	1	0	2	2	2	2	0	2	0	0	0	0	0	2	0	0	0	0	2	2	2	0	0	2	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	2	2	2	2	2	0	0	0	0	1	0	0	2	0	0	0	2	2	0	0	0	2	2	0	0	1	1	0	2	2	2	0	0	2	0	1	2	0	0	1	0	0	0	2	0	1	2	0	0	1	2	0	2	0	0	0
Mnemiopsis_leidyi	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	0	0	2	2	0	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	0	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Mertensiid_sp	2	2	2	2	2	2	2	2	0	2	0	0	0	0	0	2	0	2	2	0	0	2	2	2	0	2	0	0	2	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	2	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oopsacas_minuta	0	0	2	0	0	0	0	0	2	2	0	2	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	2	2	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscarella_carmela	2	0	2	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	2	2	0	0	0	0	2	2	2	0	2	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	2	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	2	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	1	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Oscarella_lobularis	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sycon_raphanus	2	2	2	2	2	2	2	0	0	2	2	0	0	0	2	2	0	2	2	2	2	0	2	2	0	0	0	2	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	2	0	0	0	0	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	0	2	0	0	2	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	2	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
